사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202604,1호선,동대문,699,14,10785,1967,9753,7375,17418,13644,24456,22675,23924,24410,21258,26218,22494,30301,25459,28382,28033,29074,30511,28286,32180,26937,33106,26447,32460,26370,29825,26605,22352,24061,19187,17858,16818,17126,12928,16118,6405,10780,1041,3359,1,337,0,0,0,0,20260503
202604,1호선,동묘앞,203,10,3112,914,4394,6211,9605,12095,14958,25536,12939,18998,14720,25576,19202,33711,26877,36292,34388,40127,35673,35199,37934,30049,38700,23312,35402,17306,25564,14755,13591,10243,7443,7481,6015,7667,4231,7613,1525,5191,156,2421,0,332,0,0,0,0,20260503
202604,1호선,서울역,714,53,11801,11865,39975,72460,124120,145403,198913,279565,142778,187193,118217,114425,124196,108812,137079,121466,129104,116620,111224,110661,142151,129197,162261,142775,241213,180281,275291,214078,153423,143870,113669,104289,114573,99237,80361,72872,42310,38093,4653,8780,23,247,0,0,0,0,20260503
202604,1호선,시청,175,0,1917,6324,4110,33548,8007,86732,10826,232452,13735,100386,16190,52298,22657,49284,25550,43405,33789,41911,43631,32450,57055,29107,69751,27102,110573,28699,177907,26120,68668,13602,61915,9676,52328,8181,33132,6252,10897,3798,688,942,3,18,0,0,0,0,20260503
202604,1호선,신설동,484,18,8846,2389,11861,10029,25480,28270,36825,56839,24621,34849,21713,22417,23008,20157,24021,20132,26422,21716,24707,20309,27148,22581,32058,24043,45356,28069,54778,34933,22758,25318,15726,18914,14135,18013,10342,15770,4525,10208,577,3008,2,2,0,0,0,0,20260503
202604,1호선,제기동,376,3,5425,2779,9886,11053,23549,21398,34107,41454,25272,32711,26289,37818,33607,44170,38268,45410,40919,47196,44361,43959,46142,37930,46086,35255,44026,29442,38090,29494,21682,19233,14306,13027,8868,12387,5846,10089,2259,6445,187,1786,0,0,0,0,0,0,20260503
202604,1호선,종각,95,1,4061,6390,4833,37342,7861,133764,11586,289675,15114,154423,20768,69745,31905,66546,38138,57528,47613,56605,59965,45262,75610,42632,93806,44115,177965,51464,233075,52507,104511,26278,95309,15147,94463,11426,64802,7942,27592,5033,2113,1421,1,0,0,0,0,0,20260503
202604,1호선,종로3가,153,13,3988,4276,4594,15033,7635,30645,11316,67668,16517,64787,23343,56625,33319,67327,45317,64019,49529,58616,60202,52731,68530,46974,76752,45656,93597,44731,97005,43803,60200,24112,51537,14904,54756,11916,41526,9471,20568,6645,2349,2607,1,48,0,0,0,0,20260503
202604,1호선,종로5가,78,0,1965,5087,3487,21455,6927,48534,12207,100606,16701,68031,26856,59883,37731,64534,45231,55450,53361,54150,61911,49882,65237,42121,74586,40313,94918,36341,97022,33464,51324,19704,37276,11481,32479,8717,20487,6959,6126,4468,423,1092,0,2,0,0,0,0,20260503
202604,1호선,청량리(서울시립대입구),1304,48,11628,3053,21459,10998,55938,20304,64442,44780,41046,45768,37057,43926,41668,53028,50554,54195,52051,55585,55537,53995,59368,51739,62942,53442,58808,56446,49986,67753,30926,42720,25196,27228,19208,26056,11602,21919,4735,13620,380,4814,0,5,0,0,0,0,20260503
202604,2호선,강남,151,10,7495,12369,19413,54996,46771,175488,69742,352373,58519,353952,61278,162217,78264,107011,94814,104305,110937,117214,122180,107577,147237,102882,174319,111677,273002,144913,344042,182546,230248,107511,176960,65224,185404,55767,160220,48004,70791,23892,12351,6946,1,148,0,0,0,0,20260503
202604,2호선,강변(동서울터미널),26,0,9318,1823,24135,20201,72252,23632,107574,41693,78129,34121,61283,32241,52541,30487,47579,34673,45003,39897,41837,44325,43914,53462,47434,57875,54413,73969,58455,95288,39085,64656,31276,46422,24738,37566,16349,32997,6202,16635,819,4600,1,88,0,0,0,0,20260503
202604,2호선,건대입구,302,7,14349,1840,24375,15262,62634,26693,101153,69729,70141,57196,47876,52897,44943,54294,53305,59613,58471,64942,60485,63862,65059,69993,73561,82858,86890,112460,98539,161290,75970,113850,77965,76020,83155,69442,78843,63600,47869,37832,8299,13264,16,1226,0,0,0,0,20260503
202604,2호선,교대(법원.검찰청),15,1,2950,6965,11868,30930,29303,62362,39049,175596,33241,139680,30083,72851,35382,62213,36995,57216,45841,63006,53402,54703,58168,51324,64163,53159,104935,67846,145935,73972,65162,44274,56203,29313,54544,25990,38189,24100,15893,12578,3248,4069,3,17,0,0,0,0,20260503
202604,2호선,구로디지털단지,324,23,40192,5659,58629,22081,153661,92526,202398,238313,124207,143632,78685,61770,68712,48408,77883,53841,74509,67905,66344,63363,75591,72327,91095,87532,144845,121728,210681,174159,105524,133244,64674,94929,51833,91635,39725,86465,18703,51223,3671,16024,6,407,0,0,0,0,20260503
202604,2호선,구의(광진구청),81,4,14558,1483,31997,15493,88399,23098,137163,51728,84565,29064,48927,26496,40594,29019,42160,32424,40964,34661,38708,36875,39924,46329,47225,53442,47430,77101,58852,118056,32705,85607,26488,57334,25136,54188,20459,49574,9734,27547,1717,8847,6,151,0,0,0,0,20260503
202604,2호선,낙성대(강감찬),75,1,13399,2258,30667,10942,92398,24461,135693,47261,87505,39728,49775,32324,40682,27406,45515,30522,43769,33154,38977,34104,40521,41232,44160,48339,50026,68276,56832,108290,32998,90135,26761,61525,23504,58581,17702,57415,9049,34561,1706,10416,2,175,0,0,0,0,20260503
202604,2호선,당산,35,7,9033,3270,21438,13852,57469,31810,65995,83590,42244,34153,30326,19523,28041,19878,29266,23314,27419,26701,25278,27184,26793,32135,32204,40765,48431,58973,62944,83337,30626,56450,24752,38653,24069,37415,19320,33634,9971,21321,1728,5205,3,168,0,0,0,0,20260503
202604,2호선,대림(구로구청),775,35,35369,3248,33307,11435,74734,25098,104420,57459,69198,35615,44341,34201,37555,35440,39992,35917,38947,36070,35354,37078,37950,47070,40311,53697,47014,67973,51885,74554,27782,55876,20704,44604,14807,53690,11201,48868,5838,24713,950,6203,5,330,0,0,0,0,20260503
202604,2호선,도림천,3,0,443,260,1572,1056,4198,6009,3834,8154,2765,3366,2778,2109,3948,1954,3041,2081,2485,3007,2865,2966,3658,2951,3955,3144,4291,3611,4893,4535,2113,3212,1538,2312,1298,1955,771,1558,255,969,64,324,0,18,0,0,0,0,20260503
202604,2호선,동대문역사문화공원(DDP),191,20,4167,1184,4127,10210,7837,25215,14812,51355,18288,34290,21054,32291,23384,32698,26515,32357,27420,33696,30342,34515,38898,33501,44471,32782,50893,36523,50468,42266,36290,37685,29629,29246,26882,24422,20024,20751,11160,12706,2529,4248,5,157,0,0,0,0,20260503
202604,2호선,뚝섬,25,1,3941,2491,10796,16225,22508,48372,30668,157508,20701,108891,18458,52981,22196,44303,27565,44670,32300,44598,38499,40178,47432,41467,58321,42091,94544,46457,147175,55696,82123,33012,56255,19628,47191,16632,27499,14344,10280,8857,1694,2988,0,115,0,0,0,0,20260503
202604,2호선,문래,38,0,4325,3187,16509,13060,48521,44976,55821,145010,31731,64806,23736,27618,22571,24515,28189,27795,28357,29897,28710,27993,31543,30154,38659,36461,70775,47952,116108,70538,43718,46593,32808,26349,33613,22884,29644,19874,13277,11531,2500,4006,3,138,0,0,0,0,20260503
202604,2호선,방배,2,0,3025,4058,10462,15026,25703,32800,34753,84710,28554,67952,21549,39698,23934,32283,27464,32200,29647,28089,35415,27558,40353,26270,47274,27404,59970,35138,68364,39382,32522,26938,25947,18403,24715,16942,20019,17150,7677,9270,1737,2864,5,23,0,1,0,0,20260503
202604,2호선,봉천,98,4,15755,1403,32853,7129,95352,14000,131305,29133,81883,23190,46307,21000,38479,22965,40656,25466,38802,28278,33134,31824,31453,41677,33735,48584,33961,63578,34531,98749,21882,79640,18164,51901,15297,47556,10874,44052,5067,25542,943,8770,2,272,0,0,0,0,20260503
202604,2호선,사당,97,4,13455,4276,34574,39170,90355,58425,113646,84945,85273,61396,56573,51583,53609,62721,60944,62893,63955,60663,68464,60191,69784,72885,74438,98385,91205,143492,113360,194561,78514,128075,76146,82549,81933,75896,71541,72776,40042,41032,7038,12653,11,895,0,0,0,0,20260503
202604,2호선,삼성(무역센터),129,5,4799,6919,7405,56821,15277,158722,21482,339656,22310,268570,27885,130814,41945,93204,55827,86514,72668,89440,89915,74896,113884,64157,153042,60120,253490,64193,305872,63655,160686,35357,123575,20621,100271,16859,67230,12637,16747,6837,2503,3885,3,1244,0,0,0,0,20260503
202604,2호선,상왕십리,11,2,5972,1043,16257,6617,47748,12353,71680,32032,41222,19827,25959,14306,22164,14135,23525,15594,21853,18185,20008,19354,21096,23842,23226,29383,26611,40939,28624,60271,20500,40664,13785,27581,11297,25628,7676,23727,3149,13830,586,4911,0,32,0,0,0,0,20260503
202604,2호선,서울대입구(관악구청),4826,35,28970,2700,49534,14219,140906,32260,189418,83827,131145,74578,76627,61030,64771,49607,75130,53913,75068,58819,68698,59574,74209,68587,79208,81042,90953,113721,102304,179662,61591,143639,52790,95423,51799,89743,43856,88847,23548,51602,4834,19549,3,3257,0,0,0,0,20260503
202604,2호선,서초,2,0,1924,5982,13868,26818,24660,62836,32362,128969,31097,94277,25327,47705,33493,36725,30956,28562,38828,29625,40005,27932,48470,23576,56110,25608,82668,28031,101579,30381,45371,21077,32458,13755,30698,12258,18366,11804,5945,6137,1012,1674,0,10,0,0,0,0,20260503
202604,2호선,선릉,181,9,4650,6587,12684,49139,26081,140501,41152,309507,40501,226170,43618,106438,54572,68614,64612,65497,72478,75514,83284,59397,109720,55646,136722,53872,229964,62673,312189,64027,156398,42001,104051,27111,90314,24114,72776,22317,25068,12641,4280,5371,3,227,0,0,0,0,20260503
202604,2호선,성수,54,1,5181,6867,9460,45273,22962,84214,30661,279957,25508,194028,25673,131958,33885,125093,48414,125056,64472,129357,85545,125239,111091,120492,144316,112224,212531,107326,312087,101508,193449,60691,151744,31993,126014,21560,81108,16301,27072,11898,3626,6809,8,1280,0,0,0,0,20260503
202604,2호선,시청,35,0,864,2742,2383,25735,5503,84191,9791,246840,15288,97464,21390,34449,28151,31050,27969,30041,34476,31408,41138,26231,50760,23190,64833,21824,122944,24586,183981,24055,66694,13486,53060,9429,44793,9655,27530,7952,10268,4529,1500,1426,1,57,0,0,0,0,20260503
202604,2호선,신답,11,2,1149,115,2363,531,7326,1225,12764,2314,5519,1136,3220,1253,2643,1312,2708,1566,2496,1642,2154,2115,2064,3205,2519,4391,2477,5836,2252,11302,1188,7625,863,4346,554,4371,400,3597,194,2221,34,639,0,0,0,0,0,0,20260503
202604,2호선,신당,23,1,5983,1508,13153,8275,34738,16826,59651,33775,34417,22882,23917,19896,22695,21705,25238,22355,24511,23863,23979,24996,25743,27573,28638,32989,32930,44993,35592,63278,25447,42681,20957,27831,19751,25391,17122,22607,8920,13748,1842,4607,1,57,0,1,0,0,20260503
202604,2호선,신대방,276,3,24347,2109,37146,10012,98945,15502,138580,25989,87413,19240,49304,18815,39676,20078,40436,23806,38148,27474,32606,32295,32029,42073,33961,49688,33879,67010,32988,99482,21488,82218,16233,59529,13690,60736,10085,58195,5464,32963,1164,10212,3,286,1,1,0,0,20260503
202604,2호선,신도림,4536,23,40445,5516,64091,20762,160532,46002,162521,111665,100364,76842,71349,59015,67394,61819,75957,66516,75324,72911,74772,67501,78847,79279,87661,95633,108801,125477,122135,183767,72503,124089,58480,80789,59920,75355,54560,72181,21638,51483,3241,22965,17,2871,0,0,0,0,20260503
202604,2호선,신림,256,10,37949,3817,75568,18575,201763,32249,291555,46695,180040,44578,101475,43525,84288,46244,89939,52697,83318,60475,74403,66890,72476,85832,77234,105548,78739,146339,79180,239711,57322,202000,47926,141282,43793,132850,36576,126963,21395,81538,5014,27403,1,528,0,0,0,0,20260503
202604,2호선,신설동,47,0,1111,298,1937,1977,5454,6238,10914,14834,6590,10726,5979,8841,7086,7491,8274,7647,9121,8445,9193,6751,9750,6261,10156,5988,12885,6913,13178,8246,5666,6643,3474,5031,3008,4658,1879,4442,909,2732,133,921,1,164,0,0,0,0,20260503
202604,2호선,신정네거리,113,1,9147,953,20946,2661,56117,4861,48391,13704,26079,9493,19303,8361,17420,8888,17015,11079,16654,13442,13249,14396,12749,18770,12961,24373,12486,33406,12524,49992,7532,38848,5660,21858,4617,19111,3511,17191,1504,10993,302,3356,0,107,0,0,0,0,20260503
202604,2호선,신촌,46,5,6679,2911,15412,16083,40924,40614,59200,96212,46836,103501,46518,80941,55224,71287,65086,73750,71742,79716,73281,69111,83497,65430,96582,70909,115086,94267,109668,121177,79858,84275,81446,56162,84791,49954,80882,45188,38919,30826,7203,8391,7,236,0,0,0,0,20260503
202604,2호선,아현,10,2,4999,620,13385,5753,36200,13401,48980,22826,29870,16212,20219,13955,18758,11699,20984,14049,18258,15849,16425,15607,19556,18553,22596,21303,22343,28402,20814,38632,13456,28658,10013,20274,7913,18880,5678,17248,2390,9551,440,2904,0,34,0,0,0,0,20260503
202604,2호선,양천구청,38,2,5176,712,13893,3082,36964,6350,33161,11032,19114,5982,13308,4989,11188,5665,11897,7410,10743,9629,8506,9970,8825,12929,8968,16102,9645,22733,9930,32382,4707,26143,3382,16048,2765,14080,2314,10814,677,7867,163,2580,0,22,0,0,0,0,20260503
202604,2호선,역삼,43,4,3706,7665,9545,50770,17035,171181,28401,382087,27138,323571,29068,125527,37571,67915,43694,58899,52181,64704,63507,50889,80049,44979,110873,45595,240802,53066,287799,59960,161708,39168,93623,25021,81196,22533,55110,18971,20464,11412,3614,3590,4,106,0,0,0,0,20260503
202604,2호선,영등포구청,81,5,5899,4705,15120,16874,46763,45145,57677,142356,35824,60116,27119,31161,28527,26960,31892,29344,32343,32537,33007,29585,37668,30770,43880,34752,69095,45321,112959,64810,41949,43364,32136,27881,28475,25284,20355,22913,9455,14585,1881,5543,4,242,0,0,0,0,20260503
202604,2호선,왕십리(성동구청),637,3,6778,1014,11653,7876,31383,16939,54549,32620,34404,21575,24091,17106,23360,18521,27005,20692,26337,21113,25914,21676,28811,25031,35624,29683,39055,41727,39737,60886,27106,39224,24856,26925,27310,24619,25449,23529,15532,15440,3231,6073,3,112,0,0,0,0,20260503
202604,2호선,용답,15,0,2653,364,3751,1347,9029,1974,14990,4654,8316,5641,5833,3997,5555,3421,6272,3916,5592,4537,5011,4308,5642,5271,7427,6912,6561,8161,4780,12586,2846,8760,2317,6370,1998,6968,1485,6722,601,3914,187,1226,0,1,0,0,0,0,20260503
202604,2호선,용두(동대문구청),75,2,1191,155,2206,901,6165,2669,10309,5439,5952,2996,4395,3082,4174,3291,4310,3113,4369,3825,4339,4038,4474,4325,4531,4666,4826,5480,5222,8775,2169,5871,1349,3871,1257,3568,667,2743,246,1710,55,566,0,11,0,0,0,0,20260503
202604,2호선,을지로3가,25,4,1165,2220,3196,29967,7383,87299,14914,179200,20715,74007,26781,36201,28464,31863,30186,30345,32906,33048,37383,30848,41622,32481,55577,37475,110947,45514,143545,54184,61622,35476,49819,23195,53742,19399,45790,16595,26120,9579,5214,2421,4,70,0,0,0,0,20260503
202604,2호선,을지로4가,8,0,1238,1163,2704,16346,6819,39451,13083,82122,16745,41460,19917,26744,23253,26238,23256,23645,24705,23583,27501,22249,31639,21568,38613,20812,67182,22509,73112,22906,33187,16538,21342,13058,18354,12679,12612,12196,6335,7083,1222,2156,1,27,1,0,0,0,20260503
202604,2호선,을지로입구,141,1,3295,3295,5156,41253,13074,149677,21217,364524,31351,179435,39098,101941,50259,84804,56804,75003,69238,78959,80049,69518,95315,69880,118212,73991,206217,84491,298243,87953,152514,59404,145088,42716,101640,34273,84378,25398,35929,13600,5071,5375,4,1064,0,0,0,0,20260503
202604,2호선,이대,12,1,3558,892,11544,8123,32535,17672,43411,52904,27553,61669,23102,46928,25305,33032,34098,36636,34582,39903,32260,29573,42894,30302,45115,32422,57115,41278,52391,52383,31973,38672,28297,27507,28341,26167,21636,26071,8898,17721,1359,5414,0,131,0,0,0,0,20260503
202604,2호선,잠실(송파구청),88,3,15403,5473,59032,39308,139101,91194,187544,183513,133296,182295,96830,146359,97951,147131,112563,144261,124148,151543,139949,152511,170699,170092,200753,189599,238512,237145,266126,288464,206593,194073,209889,128709,185579,107966,125453,96631,42754,48434,6805,11438,6,163,0,0,0,0,20260503
202604,2호선,잠실나루,2,0,4365,2313,17790,12388,50069,27140,59849,44871,36965,27902,30369,21735,28120,19206,26508,23231,24521,25158,25501,24051,30027,25228,34487,28415,41940,36803,34591,50685,18314,36199,12971,24192,9854,22040,6903,20507,2955,10810,538,3433,0,56,0,0,0,0,20260503
202604,2호선,잠실새내,20,1,6602,1187,22572,10617,72374,19622,96822,32066,59725,33384,41540,27852,36689,30789,38049,36177,37368,39969,34241,41768,37882,49947,41651,60409,44546,75528,47470,95232,37155,64647,32712,41201,31482,36718,31821,33596,17233,17786,3553,5946,4,115,0,0,0,0,20260503
202604,2호선,종합운동장,34,4,2013,1617,7378,21192,19319,21680,26427,29970,18142,15185,13277,13899,13304,15241,14215,38292,13188,58293,13628,23369,18295,29612,36902,54790,75894,125113,27728,123757,23197,32166,30761,14190,129489,14070,94072,12688,4354,5921,521,2063,2,126,0,0,0,0,20260503
202604,2호선,충정로(경기대입구),14,1,3400,1265,7465,9414,18013,30076,25610,67629,17250,30502,13538,13629,13759,12161,14893,12728,14292,14499,14118,13298,15915,13771,20323,15521,39520,19711,48193,24831,17426,16605,12088,12787,10621,12212,6941,11174,2874,6789,742,2217,0,37,0,0,0,0,20260503
202604,2호선,한양대,2,0,1249,767,3235,9306,6701,19734,10412,84660,8356,70454,10911,63728,18394,23111,23143,47827,25567,31638,32817,26708,39416,17897,53021,14923,62179,19938,52988,24004,28223,12822,23499,8663,25997,7894,17613,7525,10413,5188,2330,1657,1,39,0,0,0,0,20260503
202604,2호선,합정,116,0,11078,3249,18878,14947,43786,36093,56013,97708,37742,90571,31799,58764,33330,55754,40967,60283,44185,66213,46633,62501,52393,64706,62688,74626,85173,93323,119568,125657,82981,84211,71962,50257,78283,39972,71792,36200,37942,24639,6735,9373,14,355,0,0,0,0,20260503
202604,2호선,홍대입구,746,43,23155,3683,32225,20322,67156,47436,86877,126224,69980,165448,67421,129765,75838,139836,89891,158575,103204,171849,114610,162417,137436,161553,166487,173093,194440,203835,215451,245174,184955,178850,182197,121763,201481,97503,194151,79936,98985,55028,13776,19757,20,2514,0,0,0,0,20260503
202604,3호선,가락시장,52,17,3574,858,9171,5768,25008,12474,25578,30127,18604,15744,16203,11176,15113,11802,15220,12662,14937,13420,15345,13794,16512,16157,17645,18098,22070,22848,29244,29757,13030,19974,10859,13284,8920,11815,6333,10855,2586,5612,511,2063,1,39,0,0,0,0,20260503
202604,3호선,경복궁(정부서울청사),33,4,2537,1995,7431,23542,15898,53726,23995,160206,24505,111788,23959,75468,33437,69378,42594,62928,50305,63738,60485,50523,77711,43683,94126,39360,113107,38560,136784,39475,58648,23973,48983,14749,43082,12428,27262,10435,9714,5712,1140,1687,0,42,0,0,0,0,20260503
202604,3호선,경찰병원,8,0,3387,295,9173,3780,27893,11833,28443,31629,17446,17242,13262,9957,11944,7499,12563,8869,11276,10742,11586,9673,11492,10441,11494,11381,17945,17635,20600,24700,8170,18046,6054,11837,5270,9767,3535,9467,1051,5451,129,1578,0,0,2,1,0,0,20260503
202604,3호선,고속터미널,135,1,5637,4379,8494,37001,30317,55727,51715,82629,56545,100120,61300,104358,73420,108755,88507,100714,97529,101798,110738,108096,126355,114256,133540,112701,150579,122282,144852,128801,126449,81048,141932,51245,86317,39189,55759,28419,21169,13529,2617,2642,0,0,0,0,0,0,20260503
202604,3호선,교대(법원.검찰청),67,8,1965,839,5639,8084,12826,21566,18104,55012,15800,39257,17348,19156,21522,13605,23820,13374,29084,13690,33259,12219,35585,11611,37658,12686,57798,17620,78520,21515,36436,12124,32636,6972,31089,5784,20781,5264,8687,2948,1427,1014,0,4,0,0,0,0,20260503
202604,3호선,구파발,186,4,14155,1930,38484,10352,93846,26473,91163,33191,51863,28284,35795,31276,34776,28333,35744,30943,34794,32949,34775,34774,39368,36183,43418,45593,43893,54690,34665,84239,23918,67155,19400,40086,16401,35088,12205,31066,3705,20378,680,8944,0,323,0,0,0,0,20260503
202604,3호선,금호,53,8,4603,645,12343,2717,32119,4965,41351,10216,25551,6918,16773,7381,14304,7773,13391,9207,12747,10769,10942,12286,10811,15506,11277,18053,12495,23651,11842,32654,9329,23412,6314,16982,5093,13871,3834,13605,1758,6941,385,1922,0,0,0,0,0,0,20260503
202604,3호선,남부터미널(예술의전당),52,22,3426,1357,10847,31014,34344,75867,49822,172271,42128,93697,38958,50720,43123,37544,44767,41687,47306,48400,47435,48459,55720,48605,71187,54037,120037,59536,145282,68787,66881,44130,45629,27529,44509,22178,30390,18418,8519,10786,960,3257,0,1,0,0,0,0,20260503
202604,3호선,녹번,92,2,10247,439,28538,3881,77534,8824,83024,19759,47326,12365,30328,10573,25143,11033,25148,14058,21687,15760,18320,17976,17941,23415,19428,30972,19003,40723,20834,66681,11179,52713,7956,33123,6121,29206,4297,26225,1648,15528,278,4365,0,0,0,0,0,0,20260503
202604,3호선,대청,78,2,4262,1125,13863,7627,34462,22553,41219,30395,23269,14169,18144,10345,16343,9354,15647,12079,16061,13399,14383,13453,19811,16875,24969,17983,28599,23944,28582,32514,12883,25714,9257,18391,7599,15940,5541,17086,1817,8074,309,2819,1,4,0,0,0,0,20260503
202604,3호선,대치,24,3,3433,813,15851,8739,35209,19923,34626,27089,21511,19934,16774,14673,14995,13666,17096,18211,17257,22818,16827,20853,18254,26494,21123,31895,29613,34380,28849,36888,19359,26740,14617,16177,16941,15062,35299,12443,3973,6524,442,2331,0,2,0,0,0,0,20260503
202604,3호선,도곡,26,22,1380,442,6015,5175,15258,17003,17785,24844,12017,18080,9521,9460,9019,8829,9680,8144,9324,9140,9322,9018,12402,10195,14935,10800,18726,13442,19711,15674,10015,11767,7542,7529,7143,6843,5187,5886,1294,3412,268,2093,1,331,0,0,0,0,20260503
202604,3호선,독립문,187,2,5346,881,7105,6556,19849,17244,22829,25425,17834,25082,15398,21945,16342,14923,18556,14367,16079,16078,17405,14811,19550,15129,19970,15952,19660,16958,18141,20461,8991,16082,7134,10915,5439,9524,3751,8189,1253,5108,180,2147,0,635,0,0,0,0,20260503
202604,3호선,동대입구,10,1,1554,1506,3372,12583,5903,19491,9218,72289,9928,47868,11151,50290,14164,38040,15063,31168,25572,33840,27713,23366,30823,19379,36199,19605,52819,23453,50596,24444,26737,11992,29956,7284,21730,6645,15368,4937,4836,3339,777,1301,0,65,0,0,0,0,20260503
202604,3호선,매봉,16,1,2083,948,8333,10801,21214,28514,24746,83462,17818,36074,17141,20669,16369,20612,17946,17919,19068,17575,21881,17031,25568,17817,28013,19172,44771,23764,67709,28677,23779,17838,18643,11579,19282,9643,10582,8895,3079,4467,440,1489,0,45,0,0,0,0,20260503
202604,3호선,무악재,8,2,2023,155,6561,1662,18150,3730,21226,7142,13034,4780,8655,4012,9035,4364,8253,6330,6321,5978,5626,6011,6659,7639,7082,9666,6405,11907,6602,17716,3530,14219,2524,9352,2133,8199,1294,6725,558,4444,142,1266,0,0,0,0,0,0,20260503
202604,3호선,불광,18,1,9750,1515,20584,6896,54232,12767,66045,34515,39564,29864,29586,25850,27391,25961,28887,27899,28558,30949,28217,30082,30618,34223,32120,37982,31469,44518,32276,63628,19045,47811,15128,30746,12018,26757,8082,23619,3619,14361,648,4529,2,19,0,0,0,0,20260503
202604,3호선,수서,169,1,4925,2553,15570,18672,42793,40988,49257,59762,34196,38760,38335,26362,29102,22415,34560,26949,35798,25391,26675,25498,38009,30640,40863,34060,51980,40404,54567,54889,26096,41108,25244,28865,16924,24747,16352,22476,7278,9491,784,3536,2,333,0,1,0,0,20260503
202604,3호선,신사,36,0,3200,1780,6555,17474,12617,45066,19489,111340,17825,143112,21133,69497,26364,47703,30668,43850,36319,46310,43009,41548,49634,38766,59263,40758,88189,50867,127279,61675,88403,32706,58608,18161,54136,14835,44323,11891,18400,7877,2804,3531,0,0,0,0,0,0,20260503
202604,3호선,안국,20,1,1844,2331,3100,28831,6840,105524,12523,128031,15404,99660,19350,84257,29027,83819,42260,70652,50971,67045,62002,61960,82965,50233,106207,42128,142806,35758,135596,31573,66046,15515,51462,8453,42479,7064,21717,6767,6688,3759,727,1079,0,0,0,0,0,0,20260503
202604,3호선,압구정,68,0,3336,2446,9180,25420,19454,53477,27653,144232,24492,153694,28382,82587,34154,67976,42115,53907,47158,55434,57191,51342,66462,49326,75647,49210,99899,59185,134279,60122,94035,34946,74955,19359,52111,15319,34290,12135,11166,6568,1737,2386,2,190,0,0,0,0,20260503
202604,3호선,약수,48,1,6521,1045,11610,6457,28996,16570,39394,34634,28102,23017,20946,17318,19284,16347,21117,16974,21121,18205,20847,19300,22958,21508,24376,25615,28152,32743,33307,44827,20816,28832,17004,19880,15434,17208,11968,15144,5208,9160,892,3567,7,555,0,0,0,0,20260503
202604,3호선,양재(서초구청),68,1,5030,3233,16177,46935,42699,127871,53048,245446,36699,132150,34907,60267,37517,51119,41481,47634,47898,53391,53572,44782,66119,46649,84252,51437,147381,70518,206612,83875,98392,52854,70710,34215,63128,30137,43855,25773,13565,13492,1673,3864,0,5,0,0,0,0,20260503
202604,3호선,연신내,399,8,26429,2578,55698,16437,132771,33921,158712,51909,95894,45297,68083,39869,63221,41055,69537,45097,61851,49875,56987,52630,59612,64690,66897,79414,64451,97235,62800,146026,43434,116247,34494,74600,29606,65410,24327,56527,11919,36606,2209,12239,11,48,0,0,0,0,20260503
202604,3호선,오금,29,0,4830,14,11067,2927,34295,7491,33592,15201,18209,7247,10711,5476,8592,5399,9359,6392,8628,7295,7627,7515,7424,10176,9261,11584,11606,16865,12973,24873,5199,17698,4060,12186,3512,9991,2837,11170,678,5768,149,2220,0,1,0,0,0,0,20260503
202604,3호선,옥수,217,3,3233,921,10578,4392,27192,8297,36168,14345,25306,11583,17675,10097,15961,12271,15999,13397,15574,15395,15427,16983,16683,20669,17837,22321,19179,30794,19596,38582,14111,27647,11196,18586,9787,16532,6569,14992,2649,6735,498,1951,0,0,0,0,0,0,20260503
202604,3호선,을지로3가,35,0,921,1427,2035,11654,4663,41628,9588,82685,13547,33837,14933,17578,15231,16664,14735,15930,17151,17532,19447,16079,21975,16329,26920,19722,54363,24622,74309,30141,31680,17901,25980,10249,27101,7539,22771,5844,12716,4371,2139,1178,0,5,1,0,0,0,20260503
202604,3호선,일원,4,0,2749,2145,10692,12418,30941,40645,28430,31607,21622,23916,21062,19762,20816,14156,21861,17149,19372,18194,20350,17374,26219,16546,32646,15781,41326,18820,21111,26328,11782,20465,7700,14133,6514,13296,3893,13585,1647,5587,178,1862,0,35,0,0,0,0,20260503
